"party","income","education","age"
"Republican",97.5,"BAdeg",34
"Republican",97.5,"MAdeg",55
"Democrat",97.5,"BAdeg",35
"Independent",97.5,"HS",55
"Republican",97.5,"BAdeg",27
"Democrat",97.5,"BAdeg",26
"Republican",97.5,"BAdeg",54
"Republican",97.5,"Coll",42
"Republican",97.5,"MAdeg",57
"Republican",97.5,"BAdeg",54
"Republican",97.5,"BAdeg",55
"Republican",97.5,"MAdeg",50
"Democrat",97.5,"MAdeg",57
"Independent",97.5,"Coll",46
"Republican",97.5,"BAdeg",53
"Democrat",97.5,"MAdeg",32
"Independent",97.5,"CCdeg",53
"Democrat",97.5,"BAdeg",39
"Independent",97.5,"BAdeg",47
"Independent",97.5,"Coll",57
"Republican",97.5,"BAdeg",49
"Republican",97.5,"CCdeg",31
"Republican",97.5,"BAdeg",43
"Independent",97.5,"BAdeg",44
"Democrat",97.5,"BAdeg",39
"Republican",97.5,"Coll",49
"Independent",97.5,"BAdeg",72
"Republican",97.5,"BAdeg",50
"Republican",97.5,"Coll",28
"Independent",97.5,"MAdeg",48
"Democrat",97.5,"BAdeg",32
"Democrat",97.5,"Coll",63
"Republican",97.5,"Coll",36
"Republican",97.5,"BAdeg",36
"Independent",97.5,"HS",53
"Independent",97.5,"MAdeg",44
"Republican",115,"MAdeg",41
"Democrat",115,"MAdeg",56
"Independent",115,"MAdeg",63
"Democrat",115,"BAdeg",52
"Independent",115,"MAdeg",43
"Independent",115,"HS",40
"Independent",115,"Coll",69
"Democrat",115,"MAdeg",49
"Independent",115,"MAdeg",65
"Republican",115,"MAdeg",53
"Republican",115,"Coll",50
"Democrat",115,"CCdeg",27
"Republican",115,"BAdeg",44
"Democrat",115,"MAdeg",54
"Independent",115,"CCdeg",33
"Independent",115,"MAdeg",48
"Republican",115,"CCdeg",54
"Republican",115,"HS",56
"Independent",115,"MAdeg",34
"Republican",115,"BAdeg",41
"Republican",115,"BAdeg",40
"Republican",115,"BAdeg",55
"Republican",115,"BAdeg",38
"Republican",115,"BAdeg",40
"Republican",115,"Coll",46
"Democrat",115,"BAdeg",26
"Independent",115,"BAdeg",49
"Republican",115,"CCdeg",51
"Independent",115,"BAdeg",46
"Independent",115,"MAdeg",40
"Independent",115,"CCdeg",30
"Independent",115,"CCdeg",45
"Independent",115,"MAdeg",52
"Republican",115,"BAdeg",36
"Independent",115,"BAdeg",49
"Democrat",115,"MAdeg",38
"Democrat",115,"MAdeg",51
"Democrat",115,"BAdeg",47
"Republican",115,"MAdeg",52
"Republican",115,"BAdeg",33
"Republican",115,"Coll",50
"Independent",115,"MAdeg",48
"Democrat",115,"BAdeg",36
"Democrat",115,"MAdeg",35
"Independent",115,"MAdeg",34
"Independent",115,"BAdeg",53
"Independent",115,"MAdeg",33
"Republican",115,"BAdeg",52
"Independent",115,"MAdeg",44
"Democrat",115,"BAdeg",48
"Republican",115,"Coll",20
"Republican",115,"BAdeg",45
"Independent",115,"HS",70
"Independent",115,"HS",39
"Democrat",115,"MAdeg",40
"Republican",115,"BAdeg",62
"Independent",115,"BAdeg",46
"Independent",115,"HS",46
"Republican",115,"MAdeg",56
"Republican",115,"MAdeg",55
"Republican",115,"Coll",41
"Democrat",115,"MAdeg",43
"Republican",115,"HS",34
"Independent",115,"BAdeg",73
"Republican",115,"BAdeg",50
"Republican",115,"BAdeg",43
"Republican",115,"MAdeg",46
"Independent",115,"MAdeg",61
