"childid","schoolid","classid","sex","minority","mathkind","mathgain","ses"
"515","45","300","F","Mnrt=Yes",503,8,-0.04
"516","45","300","M","Mnrt=Yes",461,87,0.29
"517","45","300","M","Mnrt=Yes",469,71,-1.28
"518","45","300","M","Mnrt=Yes",482,90,-0.96
"519","45","300","F","Mnrt=Yes",459,77,-0.67
"520","46","19","M","Mnrt=Yes",381,97,-0.16
"521","46","19","M","Mnrt=Yes",464,62,-0.74
"522","46","69","M","Mnrt=Yes",484,39,1.09
"523","46","69","M","Mnrt=Yes",470,28,0.51
"524","46","69","F","Mnrt=Yes",502,47,-0.08
"525","46","71","F","Mnrt=Yes",441,72,-0.36
"526","46","71","M","Mnrt=Yes",459,85,0.83
"527","46","133","M","Mnrt=Yes",420,81,-0.57
"528","46","133","F","Mnrt=Yes",474,34,-0.12
"529","46","133","F","Mnrt=Yes",461,36,0.35
"530","46","240","M","Mnrt=Yes",481,16,0.07
"531","46","240","F","Mnrt=Yes",438,34,-0.83
"532","46","240","F","Mnrt=Yes",469,71,-0.58
"533","47","61","M","Mnrt=Yes",413,88,-0.74
"534","47","61","F","Mnrt=Yes",462,14,-0.81
"535","47","82","M","Mnrt=Yes",488,91,0.5
"536","47","82","M","Mnrt=Yes",400,57,0.07
"537","47","82","M","Mnrt=Yes",442,7,-0.04
"538","47","82","M","Mnrt=Yes",485,54,0.05
"539","47","82","M","Mnrt=Yes",290,253,-0.4
"540","47","155","M","Mnrt=Yes",438,70,-0.11
"541","47","155","F","Mnrt=Yes",446,52,-0.22
"542","47","155","F","Mnrt=Yes",501,52,1.11
"543","48","153","M","Mnrt=Yes",421,68,-0.03
"544","48","153","F","Mnrt=Yes",418,40,-0.43
"545","48","153","F","Mnrt=Yes",430,25,-0.56
"546","48","153","F","Mnrt=Yes",464,61,1.91
"547","48","153","M","Mnrt=Yes",458,36,1.32
"548","48","153","F","Mnrt=Yes",391,64,-1.35
"549","49","105","F","Mnrt=Yes",430,80,-0.5
"550","49","105","M","Mnrt=Yes",409,144,0.26
"551","49","105","M","Mnrt=Yes",459,48,0.03
"552","49","105","M","Mnrt=Yes",462,142,0.71
"553","49","212","M","Mnrt=Yes",480,3,-0.36
"554","49","212","M","Mnrt=Yes",503,77,-0.03
"555","49","212","M","Mnrt=No",458,66,-0.23
"556","49","212","M","Mnrt=Yes",459,92,1.84
"557","50","25","M","Mnrt=No",521,2,0.06
"558","50","25","F","Mnrt=No",507,70,-0.41
"559","50","25","M","Mnrt=No",506,63,1.23
"560","50","25","F","Mnrt=Yes",502,13,-0.28
"561","50","127","M","Mnrt=No",477,46,-0.01
"562","50","127","M","Mnrt=No",470,85,-0.64
"563","50","127","F","Mnrt=Yes",506,31,-0.6
"564","50","289","M","Mnrt=No",553,20,1.23
"565","50","289","F","Mnrt=Yes",469,26,0.97
"566","50","289","F","Mnrt=No",483,95,-0.22
"567","50","289","M","Mnrt=Yes",479,26,-0.4
"568","50","289","M","Mnrt=No",494,50,-0.02
"569","51","59","F","Mnrt=No",472,62,-0.03
"570","51","59","F","Mnrt=No",420,84,-0.09
"571","51","59","M","Mnrt=Yes",454,35,0.2
"572","51","59","M","Mnrt=Yes",495,45,-1.05
"573","52","255","F","Mnrt=Yes",521,48,0.82
"574","52","255","M","Mnrt=Yes",524,65,1.16
"575","52","255","F","Mnrt=Yes",521,43,0.92
"576","52","255","F","Mnrt=Yes",496,32,0.63
"577","52","255","M","Mnrt=Yes",498,49,0.49
"578","52","255","F","Mnrt=Yes",462,61,0.4
"579","52","270","F","Mnrt=Yes",422,35,-1.03
"580","52","270","M","Mnrt=Yes",428,30,-1.51
"581","52","270","F","Mnrt=Yes",434,15,-0.53
"582","53","14","F","Mnrt=Yes",489,47,-0.03
"583","53","14","F","Mnrt=Yes",434,65,-0.51
"584","53","14","F","Mnrt=Yes",394,112,-0.03
"585","53","14","M","Mnrt=Yes",488,142,-0.28
"586","53","149","F","Mnrt=Yes",512,14,-0.99
"587","53","149","M","Mnrt=Yes",520,46,-0.2
"588","53","149","M","Mnrt=Yes",491,61,-0.03
"589","53","149","F","Mnrt=No",460,91,-0.05
"590","54","259","M","Mnrt=No",471,48,0.06
"591","54","259","M","Mnrt=No",516,29,2.04
"592","54","259","M","Mnrt=No",510,31,1.86
"593","54","259","M","Mnrt=Yes",457,60,0.12
"594","54","259","M","Mnrt=No",504,54,1.79
"595","54","259","M","Mnrt=No",544,23,1.79
"596","54","259","F","Mnrt=Yes",506,5,-0.71
"597","54","259","F","Mnrt=No",451,32,2.93
"598","54","301","M","Mnrt=No",515,16,-0.33
"599","54","301","M","Mnrt=Yes",504,64,0.12
"600","55","24","F","Mnrt=No",497,20,-0.18
"601","55","35","M","Mnrt=No",476,6,-0.62
"602","55","35","F","Mnrt=No",525,55,-0.03
"603","55","35","M","Mnrt=Yes",472,113,-1.28
"604","55","35","M","Mnrt=No",427,67,1.09
"605","55","117","F","Mnrt=No",446,62,0.45
"606","55","117","F","Mnrt=No",465,59,0.09
"607","55","117","M","Mnrt=No",498,46,0.17
"608","55","117","M","Mnrt=Yes",495,36,-1.02
"609","55","117","M","Mnrt=No",491,18,-0.32
"610","55","117","F","Mnrt=Yes",463,54,-1.15
"611","55","117","M","Mnrt=No",478,76,-0.8
"612","55","117","F","Mnrt=No",415,84,-0.24
"613","56","3","F","Mnrt=No",506,-4,-0.43
"614","56","3","F","Mnrt=No",516,18,-0.26
"615","56","3","M","Mnrt=No",456,33,-0.51
"616","56","168","F","Mnrt=No",511,122,1.54
"617","56","168","F","Mnrt=No",524,53,0.12
"618","56","168","M","Mnrt=No",480,77,-0.37
"619","56","168","M","Mnrt=No",521,26,0.07
"620","56","168","M","Mnrt=No",505,55,0.38
"621","56","168","M","Mnrt=No",482,85,0.02
"622","56","168","M","Mnrt=No",470,56,-1.28
"623","57","36","F","Mnrt=Yes",431,89,-0.96
"624","57","40","M","Mnrt=Yes",349,132,-0.76
"625","57","40","F","Mnrt=Yes",465,127,0.19
"626","57","40","F","Mnrt=Yes",474,22,-0.86
"627","57","171","F","Mnrt=Yes",435,69,-1.14
"628","57","250","F","Mnrt=Yes",484,39,-0.05
"629","57","250","M","Mnrt=Yes",498,52,-0.07
"630","57","272","M","Mnrt=Yes",466,34,-1.15
"631","58","12","M","Mnrt=Yes",456,36,0.32
"632","58","12","F","Mnrt=No",480,62,0.55
"633","58","12","M","Mnrt=Yes",451,51,-0.8
"634","58","12","F","Mnrt=Yes",500,109,-0.28
"635","58","12","F","Mnrt=No",533,-8,0.05
"636","59","34","M","Mnrt=Yes",536,6,-0.85
"637","59","108","F","Mnrt=No",506,41,0.01
"638","59","108","M","Mnrt=Yes",455,54,0.27
"639","59","108","M","Mnrt=Yes",540,79,-0.28
"640","60","121","F","Mnrt=Yes",482,102,-0.03
"641","60","121","M","Mnrt=Yes",493,122,-0.03
"642","60","121","M","Mnrt=Yes",445,72,-0.03
"643","60","121","F","Mnrt=Yes",432,36,-0.03
"644","60","121","M","Mnrt=Yes",445,118,-0.68
"645","60","121","M","Mnrt=Yes",415,79,-0.03
"646","60","242","F","Mnrt=Yes",443,59,-0.03
"647","60","242","F","Mnrt=Yes",428,78,-0.73
"648","60","242","M","Mnrt=Yes",449,74,-0.07
"649","60","242","M","Mnrt=Yes",492,79,-0.03
"650","60","242","M","Mnrt=Yes",515,24,0.3
"651","60","242","M","Mnrt=Yes",489,23,-0.03
"652","60","242","F","Mnrt=Yes",470,94,-0.03
"653","61","1","M","Mnrt=Yes",442,35,-0.09
"654","61","1","M","Mnrt=Yes",422,109,-1.32
"655","61","1","F","Mnrt=Yes",482,66,0.43
"656","61","1","F","Mnrt=Yes",489,19,-0.06
"657","61","1","M","Mnrt=Yes",460,10,-1.28
"658","61","124","M","Mnrt=Yes",448,52,-0.03
"659","61","192","F","Mnrt=Yes",449,15,-0.03
"660","61","192","F","Mnrt=Yes",441,37,-1.35
"661","61","267","F","Mnrt=Yes",503,22,-1.21
"662","61","267","F","Mnrt=Yes",454,50,-1.06
"663","61","267","M","Mnrt=Yes",456,62,-1.03
"664","62","22","F","Mnrt=No",629,-84,2.33
"665","62","22","F","Mnrt=No",501,179,2
"666","62","22","M","Mnrt=No",589,11,2.43
"667","62","22","M","Mnrt=No",524,65,0.46
"668","62","22","F","Mnrt=No",466,78,3.16
"669","62","22","F","Mnrt=No",502,41,0.46
"670","62","22","F","Mnrt=No",532,55,1.06
"671","62","22","M","Mnrt=No",500,57,0.08
"672","62","46","F","Mnrt=No",527,37,2.06
"673","62","46","M","Mnrt=No",496,61,3.21
"674","62","46","F","Mnrt=No",596,23,0.73
"675","62","46","M","Mnrt=No",499,112,1.81
"676","62","46","M","Mnrt=Yes",419,67,1.22
"677","63","310","F","Mnrt=Yes",474,17,0.04
"678","63","310","M","Mnrt=No",510,84,-0.67
"679","63","310","M","Mnrt=Yes",496,64,-0.55
"680","64","38","M","Mnrt=Yes",432,76,-0.86
"681","64","38","F","Mnrt=No",436,77,0.07
"682","64","38","M","Mnrt=Yes",472,49,0.18
"683","64","38","M","Mnrt=No",420,79,-0.69
"684","64","38","F","Mnrt=Yes",447,97,0.75
"685","64","38","M","Mnrt=No",463,40,-0.03
"686","64","38","F","Mnrt=Yes",429,67,0.11
"687","64","294","M","Mnrt=No",494,32,-0.02
"688","64","294","F","Mnrt=Yes",449,95,-0.08
"689","64","294","M","Mnrt=Yes",465,62,-0.03
"690","65","95","F","Mnrt=Yes",466,17,-0.71
"691","65","95","F","Mnrt=No",448,25,0.01
"692","65","128","M","Mnrt=Yes",524,52,0.3
"693","65","128","F","Mnrt=Yes",466,88,-0.63
"694","65","128","M","Mnrt=No",521,76,1.29
"695","65","128","F","Mnrt=Yes",408,69,-0.72
"696","65","284","M","Mnrt=Yes",474,23,-0.45
"697","65","284","F","Mnrt=No",521,65,-0.99
"698","65","284","M","Mnrt=No",503,92,1.17
"699","66","91","M","Mnrt=No",514,64,-0.03
"700","66","91","F","Mnrt=Yes",478,56,-0.2
"701","66","91","M","Mnrt=No",443,84,0.06
"702","66","91","F","Mnrt=No",445,53,0.22
"703","66","218","M","Mnrt=No",474,61,0.61
"704","66","218","M","Mnrt=No",500,38,1.79
"705","66","269","M","Mnrt=No",464,57,-0.62
"706","66","269","M","Mnrt=No",506,66,-0.07
"707","67","4","M","Mnrt=Yes",413,102,0.25
"708","67","4","M","Mnrt=Yes",427,86,-0.12
"709","67","4","M","Mnrt=Yes",482,66,-0.7
"710","67","4","M","Mnrt=Yes",430,106,-0.53
"711","67","4","F","Mnrt=Yes",441,79,-0.46
"712","67","4","M","Mnrt=Yes",429,110,-0.75
"713","67","73","F","Mnrt=Yes",401,107,0.05
"714","67","73","F","Mnrt=Yes",513,55,0.06
"715","67","73","F","Mnrt=Yes",437,82,-1.45
"716","67","245","F","Mnrt=Yes",479,32,-0.71
"717","67","245","M","Mnrt=Yes",431,57,-1.04
"718","67","245","F","Mnrt=No",436,79,-0.03
"719","68","57","F","Mnrt=Yes",542,36,-0.55
"720","68","57","M","Mnrt=Yes",487,44,-1.24
"721","68","57","M","Mnrt=Yes",501,39,-0.36
"722","68","57","F","Mnrt=Yes",463,86,-0.83
"723","68","244","F","Mnrt=Yes",290,214,-0.67
"724","68","263","F","Mnrt=Yes",488,75,-0.57
"725","68","263","F","Mnrt=Yes",508,29,-0.34
"726","68","263","F","Mnrt=Yes",489,71,-0.71
"727","68","271","M","Mnrt=Yes",491,29,-0.8
"728","68","271","F","Mnrt=Yes",435,91,-0.57
"729","68","271","F","Mnrt=Yes",414,93,-1.15
"730","68","298","M","Mnrt=Yes",409,128,-0.96
"731","68","298","F","Mnrt=Yes",490,52,-0.16
"732","68","298","F","Mnrt=Yes",500,59,-0.16
"733","68","298","F","Mnrt=Yes",473,79,-1.21
"734","68","298","F","Mnrt=Yes",423,123,0.88
"735","69","90","M","Mnrt=Yes",365,107,-0.03
"736","69","90","F","Mnrt=Yes",443,66,-0.76
"737","69","290","M","Mnrt=Yes",431,83,1.03
"738","69","290","M","Mnrt=Yes",425,45,-0.64
"739","69","290","F","Mnrt=Yes",456,22,0.55
"740","70","83","M","Mnrt=Yes",484,96,-1.15
"741","70","83","M","Mnrt=Yes",464,45,-1.19
"742","70","83","F","Mnrt=Yes",509,53,-0.46
"743","70","83","F","Mnrt=Yes",463,68,-1.45
"744","70","83","M","Mnrt=Yes",400,107,-0.09
"745","70","83","F","Mnrt=Yes",418,108,-1.15
"746","70","83","F","Mnrt=Yes",403,117,-0.59
"747","70","146","F","Mnrt=Yes",405,62,-0.36
"748","70","146","M","Mnrt=Yes",428,145,0.11
"749","70","146","M","Mnrt=Yes",496,63,0.16
"750","70","152","F","Mnrt=Yes",471,45,-1.27
"751","70","152","F","Mnrt=Yes",434,36,-1.25
"752","70","152","F","Mnrt=Yes",447,69,-0.98
"753","70","152","F","Mnrt=Yes",481,66,-1.45
"754","70","152","M","Mnrt=Yes",368,218,-1.14
"755","70","152","F","Mnrt=Yes",439,54,-0.49
"756","70","261","M","Mnrt=Yes",468,68,-0.03
"757","70","311","F","Mnrt=Yes",466,81,-1.02
"758","70","311","M","Mnrt=Yes",514,32,-0.31
"759","71","80","F","Mnrt=No",488,45,1.21
"760","71","80","M","Mnrt=No",459,95,0.14
"761","71","80","M","Mnrt=Yes",459,24,-0.03
"762","71","80","M","Mnrt=No",551,10,1.16
"763","71","80","M","Mnrt=No",500,68,1.09
"764","71","80","M","Mnrt=Yes",455,60,-0.78
"765","71","120","F","Mnrt=No",551,82,-0.19
"766","71","120","M","Mnrt=No",485,80,-0.05
"767","71","120","M","Mnrt=No",537,104,2.07
"768","71","120","F","Mnrt=No",499,85,1.08
"769","71","120","M","Mnrt=No",494,35,0.1
"770","71","120","M","Mnrt=No",502,54,0.93
"771","71","120","F","Mnrt=No",545,39,0.8
"772","71","120","F","Mnrt=No",527,50,1.27
"773","71","209","F","Mnrt=No",523,70,-0.69
"774","71","209","F","Mnrt=No",517,80,0.16
"775","71","264","F","Mnrt=No",561,34,0.91
"776","71","264","F","Mnrt=No",452,49,2.06
"777","71","264","F","Mnrt=Yes",477,1,0.02
"778","71","264","M","Mnrt=No",480,43,-0.2
"779","71","264","F","Mnrt=No",556,2,0.72
"780","71","264","F","Mnrt=No",473,55,0.28
"781","71","264","F","Mnrt=No",543,78,0.8
"782","71","304","M","Mnrt=No",502,63,0.24
"783","71","304","M","Mnrt=No",513,10,0.97
"784","71","304","F","Mnrt=No",446,72,0.3
"785","71","304","M","Mnrt=Yes",506,29,0.46
"786","72","29","M","Mnrt=No",542,77,0.6
"787","72","29","M","Mnrt=No",469,88,0.8
"788","72","29","F","Mnrt=Yes",510,20,-0.38
"789","72","148","M","Mnrt=No",523,28,-0.22
"790","72","148","M","Mnrt=No",510,51,0.56
"791","72","148","F","Mnrt=No",532,47,-0.37
"792","72","148","F","Mnrt=No",498,37,0.37
"793","72","243","F","Mnrt=No",524,113,1.95
"794","72","243","F","Mnrt=No",520,16,0.69
"795","72","243","F","Mnrt=Yes",488,53,0.27
"796","72","243","M","Mnrt=Yes",478,28,0.62
"797","73","213","F","Mnrt=Yes",489,70,-0.03
"798","73","213","M","Mnrt=Yes",426,44,-0.72
"799","73","213","M","Mnrt=Yes",442,28,-0.07
"800","73","276","M","Mnrt=Yes",422,93,-0.55
"801","73","276","M","Mnrt=Yes",466,46,-0.11
"802","73","276","F","Mnrt=Yes",523,37,0.54
"803","73","276","M","Mnrt=Yes",393,95,-0.84
"804","73","276","M","Mnrt=Yes",436,51,0.17
"805","73","276","F","Mnrt=Yes",435,11,-0.04
"806","73","276","F","Mnrt=Yes",479,38,0.47
"807","74","232","M","Mnrt=No",411,118,-0.61
"808","74","232","M","Mnrt=No",496,-2,0.62
"809","74","295","M","Mnrt=Yes",433,59,-0.98
"810","75","39","F","Mnrt=Yes",490,60,-0.03
"811","75","39","F","Mnrt=Yes",452,66,-0.88
"812","75","42","M","Mnrt=No",510,147,-0.47
"813","75","42","F","Mnrt=Yes",461,106,0.39
"814","75","42","F","Mnrt=Yes",457,36,0.09
"815","75","42","M","Mnrt=Yes",438,53,-1.52
"816","75","42","F","Mnrt=Yes",486,57,-0.96
"817","75","42","M","Mnrt=No",504,97,0.27
"818","75","42","F","Mnrt=Yes",455,58,-0.86
"819","75","42","F","Mnrt=No",436,116,-0.61
"820","75","42","F","Mnrt=Yes",451,80,-1.08
"821","75","42","F","Mnrt=Yes",508,58,-0.04
"822","75","154","F","Mnrt=Yes",533,19,-0.09
"823","75","154","F","Mnrt=Yes",476,110,0.02
"824","75","181","F","Mnrt=Yes",396,78,-1.06
"825","76","8","M","Mnrt=No",428,23,-1
"826","76","8","M","Mnrt=No",482,58,0.81
"827","76","8","M","Mnrt=No",523,25,0.46
"828","76","8","F","Mnrt=No",505,-15,0.41
"829","76","28","M","Mnrt=Yes",429,46,0.17
"830","76","28","M","Mnrt=No",290,152,-0.45
"831","76","28","F","Mnrt=Yes",485,62,-0.83
"832","76","28","F","Mnrt=No",495,19,-0.22
"833","76","28","F","Mnrt=No",470,13,0.04
"834","76","136","M","Mnrt=Yes",456,38,0.16
"835","76","136","M","Mnrt=Yes",474,58,0.03
"836","76","136","M","Mnrt=Yes",480,-10,0.1
"837","76","136","M","Mnrt=No",458,61,0.41
"838","76","136","F","Mnrt=No",438,56,-0.35
"839","76","136","M","Mnrt=No",449,69,0.19
"840","76","277","F","Mnrt=No",455,73,-0.91
"841","76","277","F","Mnrt=No",458,-3,-0.14
"842","76","277","F","Mnrt=No",503,25,0.17
"843","76","277","F","Mnrt=No",469,33,0.84
"844","76","277","M","Mnrt=No",426,19,-0.23
"845","76","277","F","Mnrt=No",451,60,0.63
"846","76","277","F","Mnrt=No",437,35,0.07
"847","76","287","M","Mnrt=No",485,50,-0.14
"848","76","287","M","Mnrt=No",441,59,0.1
"849","76","287","M","Mnrt=No",433,46,-0.32
"850","76","287","F","Mnrt=No",439,61,0.45
"851","76","287","M","Mnrt=No",417,75,-0.12
"852","77","27","M","Mnrt=No",463,59,1.1
"853","77","27","F","Mnrt=No",482,60,1.72
"854","77","27","M","Mnrt=No",469,72,1.04
"855","77","27","M","Mnrt=No",450,17,0.72
"856","77","27","F","Mnrt=No",453,52,0.2
"857","77","27","F","Mnrt=No",522,52,0.08
"858","77","53","F","Mnrt=No",468,58,0.69
"859","77","53","M","Mnrt=No",458,125,1.6
"860","77","53","F","Mnrt=No",514,5,0.56
"861","77","53","M","Mnrt=No",427,71,-0.03
"862","77","53","F","Mnrt=No",501,56,1.11
"863","77","189","F","Mnrt=No",471,57,-0.32
"864","77","189","F","Mnrt=No",515,28,1.42
"865","77","189","M","Mnrt=No",431,101,0.22
"866","77","189","M","Mnrt=No",500,44,1.27
"867","77","189","M","Mnrt=No",477,27,-0.09
"868","77","189","F","Mnrt=No",489,64,1
"869","77","189","F","Mnrt=No",484,65,0.27
"870","77","189","F","Mnrt=No",475,49,1.29
"871","77","189","M","Mnrt=No",514,67,1.06
"872","77","305","M","Mnrt=No",493,33,0.55
"873","77","305","M","Mnrt=No",514,31,0.82
"874","77","305","F","Mnrt=No",497,81,1.29
"875","77","305","M","Mnrt=No",510,57,-0.09
"876","78","13","M","Mnrt=Yes",474,56,-0.03
"877","78","13","M","Mnrt=Yes",478,12,-0.03
"878","78","13","F","Mnrt=Yes",482,49,0.81
"879","78","13","M","Mnrt=Yes",463,24,0.01
"880","78","13","M","Mnrt=Yes",461,75,-0.21
"881","78","13","M","Mnrt=Yes",512,25,-0.61
"882","78","13","F","Mnrt=Yes",439,77,-0.94
"883","78","13","F","Mnrt=Yes",473,6,0.06
"884","78","13","M","Mnrt=Yes",435,26,-1.29
"885","78","111","M","Mnrt=Yes",419,85,-1.06
"886","78","111","F","Mnrt=Yes",430,30,-0.46
"887","78","111","F","Mnrt=Yes",476,13,-0.47
"888","78","183","F","Mnrt=Yes",472,40,-1.09
"889","78","183","M","Mnrt=Yes",427,11,-0.03
"890","78","183","F","Mnrt=Yes",488,2,-0.03
"891","79","23","F","Mnrt=Yes",436,50,-1.21
"892","79","112","F","Mnrt=Yes",462,43,1.57
"893","79","112","F","Mnrt=Yes",401,74,-0.22
"894","79","253","F","Mnrt=Yes",468,31,0.36
"895","79","253","F","Mnrt=Yes",451,87,1.33
"896","79","253","F","Mnrt=Yes",531,24,0.92
"897","79","253","M","Mnrt=Yes",438,139,0.11
"898","79","253","F","Mnrt=Yes",467,49,-0.13
"899","79","253","M","Mnrt=Yes",506,24,1.13
"900","79","253","F","Mnrt=Yes",457,96,-0.17
"901","79","253","F","Mnrt=Yes",402,55,-1.26
"902","79","253","M","Mnrt=Yes",473,92,0.18
"903","80","222","F","Mnrt=Yes",432,110,0.51
"904","80","222","M","Mnrt=Yes",433,73,-0.94
"905","80","222","F","Mnrt=Yes",484,69,-0.37
"906","80","222","F","Mnrt=Yes",457,101,-0.08
"907","80","308","M","Mnrt=Yes",449,52,-0.51
"908","80","308","M","Mnrt=Yes",481,74,-0.14
"909","80","308","F","Mnrt=Yes",466,43,-0.37
"910","81","116","F","Mnrt=Yes",461,74,-0.66
"911","81","116","F","Mnrt=Yes",447,102,-0.51
"912","81","174","F","Mnrt=Yes",474,90,0.04
"913","81","174","M","Mnrt=No",430,74,-0.03
"914","81","174","F","Mnrt=No",452,44,-0.67
"915","81","174","F","Mnrt=No",428,53,-0.42
"916","81","174","M","Mnrt=Yes",452,66,-0.73
"917","81","174","F","Mnrt=No",485,40,-0.78
"918","81","174","F","Mnrt=Yes",458,48,-0.44
"919","82","164","M","Mnrt=Yes",443,60,-0.33
"920","82","164","M","Mnrt=No",407,79,-0.33
"921","82","164","M","Mnrt=No",424,93,0.93
"922","82","164","M","Mnrt=No",463,23,0.53
"923","82","164","M","Mnrt=No",499,26,0.51
"924","82","169","M","Mnrt=No",432,80,-0.21
"925","82","169","F","Mnrt=No",479,109,0.71
"926","82","169","M","Mnrt=No",443,86,1.11
"927","82","169","F","Mnrt=No",444,26,-0.27
"928","82","169","F","Mnrt=No",513,51,0.95
"929","82","169","F","Mnrt=No",484,48,1.28
"930","82","184","M","Mnrt=Yes",353,46,-1.17
"931","82","184","M","Mnrt=No",450,49,1.57
"932","82","184","M","Mnrt=No",472,55,0.52
"933","82","184","M","Mnrt=No",441,39,1.53
"934","82","184","M","Mnrt=No",487,36,0.01
"935","82","225","F","Mnrt=No",450,30,-0.27
"936","82","225","F","Mnrt=No",431,66,-0.08
"937","82","225","M","Mnrt=No",450,74,0.26
"938","83","165","F","Mnrt=Yes",437,55,0.11
"939","83","165","F","Mnrt=No",529,77,-1.15
"940","83","165","F","Mnrt=Yes",423,93,-0.44
"941","83","165","F","Mnrt=Yes",480,60,-0.36
"942","83","165","F","Mnrt=Yes",498,40,-0.4
"943","83","165","M","Mnrt=Yes",512,76,1.8
"944","83","235","F","Mnrt=Yes",466,22,-1.31
"945","83","235","M","Mnrt=Yes",447,10,-0.54
"946","83","235","F","Mnrt=Yes",492,74,-0.24
"947","83","235","M","Mnrt=Yes",492,45,0.01
"948","83","235","F","Mnrt=Yes",467,67,0.27
"949","83","235","M","Mnrt=Yes",476,54,0.38
"950","84","76","M","Mnrt=Yes",398,86,-0.06
"951","84","76","F","Mnrt=Yes",407,60,-1.26
"952","84","76","F","Mnrt=Yes",430,96,-0.03
"953","84","76","F","Mnrt=Yes",471,58,-0.31
"954","84","143","F","Mnrt=Yes",449,42,-0.72
"955","84","143","F","Mnrt=Yes",406,107,-0.93
"956","84","143","F","Mnrt=Yes",459,129,0.02
"957","84","143","M","Mnrt=Yes",436,75,-0.05
"958","84","143","F","Mnrt=Yes",430,84,-0.81
"959","84","143","M","Mnrt=Yes",418,85,-0.99
"960","84","161","F","Mnrt=Yes",392,108,-0.59
"961","84","161","M","Mnrt=Yes",484,28,-0.45
"962","84","161","M","Mnrt=Yes",418,88,-1.02
"963","84","161","F","Mnrt=Yes",427,96,-0.71
"964","85","66","M","Mnrt=No",520,29,0.33
"965","85","66","F","Mnrt=No",561,-13,1.72
"966","85","66","M","Mnrt=No",473,66,-0.38
"967","85","66","M","Mnrt=No",513,25,0.68
"968","85","66","M","Mnrt=No",517,44,0.96
"969","85","66","F","Mnrt=No",523,79,-0.11
"970","85","84","F","Mnrt=No",514,65,-0.74
"971","85","157","M","Mnrt=No",527,59,-0.11
"972","85","157","M","Mnrt=No",458,99,0.98
"973","85","157","F","Mnrt=No",516,13,0.15
"974","85","157","F","Mnrt=No",526,79,0.7
"975","85","186","M","Mnrt=No",510,-4,-1.21
"976","85","186","F","Mnrt=No",509,17,0.01
"977","85","186","F","Mnrt=No",502,55,-0.76
"978","85","186","M","Mnrt=No",496,-10,-0.64
"979","85","186","F","Mnrt=No",389,136,-0.18
"980","85","186","M","Mnrt=No",532,30,0.29
"981","85","196","F","Mnrt=No",547,133,0.28
"982","85","196","F","Mnrt=No",515,96,0.72
"983","85","196","M","Mnrt=No",448,58,0.12
"984","86","65","M","Mnrt=Yes",525,20,0.26
"985","86","132","M","Mnrt=Yes",431,-28,0.56
"986","86","132","M","Mnrt=Yes",453,63,-0.11
"987","86","132","F","Mnrt=Yes",465,41,-0.12
"988","86","275","M","Mnrt=Yes",446,52,1.27
"989","86","275","F","Mnrt=Yes",468,42,0.87
"990","86","275","M","Mnrt=Yes",441,51,-0.25
"991","87","21","M","Mnrt=Yes",477,67,-0.03
"992","87","21","M","Mnrt=Yes",486,42,-0.61
"993","87","21","M","Mnrt=Yes",499,35,-0.03
"994","87","21","M","Mnrt=Yes",471,52,-0.03
"995","87","72","F","Mnrt=Yes",531,17,-0.67
"996","87","72","F","Mnrt=Yes",494,57,-0.33
"997","87","72","M","Mnrt=Yes",497,63,-1.29
"998","87","106","M","Mnrt=Yes",537,2,-0.62
"999","87","106","F","Mnrt=Yes",482,46,0.51
"1000","87","187","F","Mnrt=Yes",446,77,-0.86
"1001","88","67","F","Mnrt=Yes",460,2,-1.48
"1002","88","67","F","Mnrt=Yes",488,40,-1.02
"1003","88","312","F","Mnrt=Yes",451,18,-0.03
"1004","88","312","M","Mnrt=Yes",421,52,0.6
"1005","88","312","F","Mnrt=Yes",374,69,0.66
"1006","88","312","F","Mnrt=Yes",428,51,-0.48
"1007","89","292","F","Mnrt=Yes",513,39,0.76
"1008","89","292","M","Mnrt=Yes",491,11,-0.25
"1009","89","292","F","Mnrt=Yes",427,80,-0.38
"1010","89","292","M","Mnrt=Yes",524,69,1.11
"1011","90","52","F","Mnrt=Yes",453,34,-0.24
"1012","90","52","M","Mnrt=Yes",506,-13,-0.13
"1013","90","238","M","Mnrt=Yes",424,130,0.01
"1014","91","15","F","Mnrt=Yes",495,34,0.64
"1015","91","45","F","Mnrt=Yes",454,32,0.18
"1016","91","45","F","Mnrt=Yes",462,39,0.5
"1017","91","45","M","Mnrt=Yes",517,30,0.42
"1018","91","45","M","Mnrt=Yes",448,39,2.02
"1019","91","45","M","Mnrt=Yes",489,-18,1
"1020","91","151","F","Mnrt=Yes",423,102,0.11
"1021","91","151","M","Mnrt=Yes",461,53,-0.06
"1022","91","231","M","Mnrt=Yes",435,42,-0.62
"1023","91","231","F","Mnrt=Yes",422,85,-0.03
"1024","91","231","F","Mnrt=Yes",473,70,-0.36
"1025","91","231","M","Mnrt=No",477,43,-0.3
"1026","91","231","M","Mnrt=No",536,46,1.08
"1027","91","231","F","Mnrt=Yes",429,54,1.12
"1028","91","231","F","Mnrt=Yes",424,66,0.7
"1029","91","231","M","Mnrt=Yes",446,58,-0.05
"1030","92","173","F","Mnrt=Yes",485,48,0.05
"1031","92","173","F","Mnrt=No",473,60,0.17
"1032","92","199","F","Mnrt=Yes",448,34,0.72
"1033","92","248","M","Mnrt=No",569,93,0.91
